"Center"	"HR_CI"	"P_formatted"
"cardoso"	"1.00 (1.00-1.00)"	"Reference"
"chart"	"0.53 (0.32-0.88)"	"0.015"
"contento"	"0.76 (0.52-1.11)"	"0.162"
"geerts"	"0.93 (0.64-1.34)"	"0.694"
"lossius"	"0.16 (0.09-0.28)"	"<0.001"
"MRC"	"0.68 (0.51-0.91)"	"0.009"
"overweg"	"1.18 (0.78-1.78)"	"0.433"
"pavlovic"	"0.52 (0.30-0.92)"	"0.024"
"prolong"	"0.87 (0.64-1.19)"	"0.384"
"ramos"	"0.38 (0.26-0.56)"	"<0.001"
"serra"	"0.70 (0.43-1.14)"	"0.152"
"shinnar"	"0.69 (0.50-0.96)"	"0.030"
"specchio"	"1.17 (0.85-1.61)"	"0.325"
"tennison"	"0.64 (0.43-0.95)"	"0.026"
"yildirim"	"0.54 (0.39-0.76)"	"<0.001"
